commit	val_bpb	memory_gb	status	description
32a1460	0.996295	44.0	keep	baseline
a7a8760	1.096461	83.9	discard	depth 8->16 batch 64 (too big - only 192 steps - undertrained)
2a2a298	1.001189	47.0	discard	relay heads auxiliary gradient signal (overhead hurt more than it helped)
6bb13be	1.019009	66.5	discard	depth 8->10 (too few steps 565 vs 935 - undertrained)
66c4b26	0.995834	44.0	keep	Muon matrix LR 0.04->0.06
53791ef	0.998419	44.0	discard	Muon matrix LR 0.06->0.08 (overshot)
ea4ced2	0.991414	44.0	keep	warmdown 0.5->0.67
2dfd874	0.992322	44.0	discard	x0_lambdas init 0.1->0.05
fd0f424	0.995756	44.0	discard	softcap 15->30
8651adf	0.996510	44.5	discard	SwiGLU MLP
07d17bd	0.991600	44.0	discard	lm_head init 0.001->0.01
fb5e81f	0.992265	44.0	discard	weight decay 0.2->0.1
c4fc514	0.993169	44.0	discard	lm_head init 0.001->0.01 (stacked on warmdown)
2b7be9f	0.994412	44.0	discard	stack lm_head 0.01 + x0_lambdas 0.05 + weight decay 0.1
c312a48	0.992579	44.0	discard	warmdown 0.67->0.75 (overshot)
005dc38	1.163821	71.5	discard	bottleneck-aware factorized loss (too slow - 337 steps - massive overhead)
fd5f563	1.053406	71.5	discard	bottleneck-aware 900s budget (989 steps - arch itself hurts even with equal steps)
6b79d8e	0.992832	44.0	discard	matrix LR 0.05
f65346a	0.992768	44.0	discard	matrix LR 0.055
31248e5	0.000000	0.0	crash	remove all value embeddings (save 16.8M params)
e789d03	3.215849	44.0	discard	weight tying wte=lm_head (save 4.2M params)
12e82f8	0.998181	43.4	discard	VE every 4th layer (save ~8.4M params)
9bb3528	1.003022	43.2	discard	VE only last layer (save ~12.6M params)
f9bee46	0.000000	0.0	crash	half-dim value embeddings (save ~8.4M)
cb282c7	0.997647	43.2	discard	shared single VE across all layers
8687a25	0.997111	40.4	discard	GQA n_kv_head=n_head//2
e6668c6	1.004359	38.6	discard	MQA n_kv_head=1
7d477b5	0.991192	41.7	keep	depth 6 AR 88 (fewer VE layers + more steps)
7d477b5	0.991035	41.7	keep	depth 6 same width (fast small)
7d477b5	0.991602	41.7	discard	depth 4 AR 128 (tiny fast model)
ee687f8	0.000000	0.0	crash	weight tying + no VE (max param savings ~21M)
cccfbea	0.000000	0.0	crash	stochastic depth (10% drop, linear)
c0fc0a7	0.000000	0.0	crash	layer sharing (4 unique blocks repeated 2x)
05d7dbf	0.995544	41.7	discard	remove softcap entirely
